"Time (s)","Sound pressure level (dB)"
0.000000000E0,-7.093692766E1
2.610208333E-1,NaN
3.665883750E-1,-6.949981411E1
4.727718750E-1,-7.323558264E1
5.821498333E-1,-7.486552903E1
6.911750833E-1,-7.570956744E1
8.003035417E-1,-7.528785857E1
9.077812083E-1,-6.740092795E1
1.016763000E0,-6.478363372E1
1.124528958E0,-7.041424375E1
1.233682292E0,-7.633845204E1
1.341141625E0,-7.457958907E1
1.450356417E0,-7.313107186E1
1.557699458E0,-7.559042612E1
1.666484042E0,-7.562328605E1
1.774129208E0,-7.523810899E1
1.882540292E0,-7.456201204E1
1.990616958E0,-7.394222354E1
2.099349917E0,-7.483592336E1
2.207556667E0,-7.630814972E1
2.316227708E0,-7.559318832E1
2.424158000E0,-6.775144997E1
2.533080375E0,-6.544066332E1
2.640792458E0,-6.846150864E1
2.747606208E0,-7.153040616E1
2.856741708E0,-7.277260863E1
2.965201583E0,-7.336156301E1
3.070289958E0,-7.144628625E1
3.176971083E0,-6.519986835E1
3.285615833E0,-6.848058093E1
3.390738750E0,-7.077003781E1
3.499480208E0,-7.105615691E1
3.607620417E0,-7.260362175E1
3.716591583E0,-7.563323156E1
3.824261625E0,-7.367296129E1
3.933136125E0,-7.018926058E1
4.040985458E0,-6.966352024E1
4.145577667E0,-7.311878262E1
4.255214458E0,-7.103498492E1
4.359535875E0,-6.684399640E1
4.469189000E0,-7.329848876E1
4.574167958E0,-7.701133097E1
4.683156875E0,-7.222716853E1
4.790952250E0,-7.266563942E1
4.899995583E0,-7.335994099E1
5.007613042E0,-6.891026889E1
5.116643583E0,-6.535768327E1
5.224407167E0,-7.158808057E1
5.331789958E0,-7.359601404E1
5.440955583E0,-7.509714917E1
5.544913292E0,NaN
5.652840667E0,-7.553218903E1
5.759880667E0,-7.447043455E1
5.869061542E0,-7.447725627E1
5.976913292E0,-7.528740326E1
6.085642708E0,-7.417613544E1
6.190759625E0,-7.367716137E1
6.299674583E0,-7.111473770E1
6.407478208E0,-7.235757736E1
6.516295375E0,-7.447300336E1
6.624143000E0,-7.537761270E1
6.732355458E0,-7.473221846E1
6.840816167E0,-7.368049248E1
6.946287000E0,-7.520435347E1
7.055285000E0,-7.315871020E1
7.160197208E0,-7.536627959E1
7.269335417E0,-7.329537213E1
7.374056458E0,-7.371308287E1
7.483054708E0,-7.154434294E1
7.590631042E0,-7.247089920E1
7.699440625E0,-7.433879424E1
7.807341417E0,-7.410589023E1
7.915273917E0,-7.516023146E1
8.024118125E0,-7.322833568E1
8.132810542E0,-7.391547755E1
8.240543708E0,-7.471307099E1
8.346515167E0,-7.200323187E1
8.455494250E0,-7.376396655E1
8.563269292E0,-7.467614418E1
8.672035750E0,-7.604167861E1
8.781010250E0,-7.400349049E1
8.889841625E0,-7.455439498E1
8.998932292E0,-7.236441767E1
9.107274708E0,-7.299736232E1
9.212630583E0,-7.418471416E1
9.319164167E0,-7.391864551E1
9.423843583E0,-7.401471119E1
9.529585958E0,-7.285036187E1
9.638328958E0,-7.500316379E1
9.747078500E0,-7.421887397E1
9.854190125E0,-7.717500558E1
9.960836583E0,-7.493670073E1
1.006747462E1,-7.582720397E1
1.017489204E1,-7.474620247E1
1.028337187E1,-7.383601747E1
1.039044196E1,-4.116114841E1
1.049936608E1,-4.597574714E1
1.060711838E1,-4.876986197E1
1.071578762E1,-4.969313022E1
1.082375567E1,-5.037583182E1
1.093249092E1,-5.094279984E1
1.104046054E1,-5.170308022E1
1.114730912E1,-5.320067456E1
1.125368592E1,-5.355373612E1
1.136130575E1,-5.472407200E1
1.146990729E1,-5.483640301E1
1.157523746E1,-5.612461483E1
1.168352637E1,-5.616019659E1
1.179041550E1,-5.710988569E1
1.189688271E1,-5.724534666E1
1.200271692E1,-5.837088556E1
1.210701975E1,-5.845651463E1
1.221299754E1,-5.944806836E1
1.232166567E1,-6.004234318E1
1.243070454E1,-6.046202167E1
1.253934187E1,-6.132466135E1
1.264504867E1,-6.159110447E1
1.275348708E1,-6.260809240E1
1.285885008E1,-6.403938736E1
1.296415129E1,-6.347047466E1
1.307281342E1,-6.570679004E1
1.318174267E1,-6.504150847E1
1.329029058E1,-6.630972686E1
1.339541442E1,-6.526541354E1
1.350084375E1,-6.174645851E1
1.360698425E1,-6.040513904E1
1.371470312E1,-6.329616631E1
1.382221758E1,-6.664494561E1
1.392870587E1,-6.315909527E1
1.403708496E1,-6.048288937E1
1.414002117E1,NaN
1.424545033E1,-6.131128531E1
1.435384821E1,-6.314014983E1
1.446287975E1,-6.683573184E1
1.457150000E1,-6.068202827E1
1.467708908E1,-6.342046179E1
1.478209388E1,-6.842867704E1
1.489033558E1,-6.362589891E1
1.499906629E1,-5.715384693E1
1.510686025E1,-6.026875031E1
1.521567683E1,-6.388402269E1
1.532352071E1,-6.015639155E1
1.543231075E1,-5.903025520E1
1.554015088E1,-6.242517200E1
1.564860104E1,-5.234572472E1
1.575671704E1,-5.136704353E1
1.586532329E1,-5.668380166E1
1.597346367E1,-5.932340494E1
1.607868529E1,-4.999134661E1
1.618646517E1,-5.163114846E1
1.629674875E1,-5.667204392E1
1.640548708E1,-6.079737692E1
1.651434783E1,-5.566235583E1
1.662305754E1,-5.517699172E1
1.673175796E1,-6.104616271E1
1.684013875E1,-6.730107824E1
1.694878596E1,-6.864063044E1
1.705666887E1,-7.123598374E1
1.716538833E1,-7.471670776E1
1.727332492E1,-7.239427049E1
1.738194971E1,-7.022829900E1
1.749002700E1,-7.234330298E1
1.759806421E1,-7.360027218E1
1.770669892E1,-7.290404499E1
1.781135425E1,-7.056007032E1
1.792001454E1,-7.136578030E1
1.802888229E1,-7.274613153E1
1.813363454E1,-7.278775833E1
1.823997113E1,-7.749983503E1
1.834867346E1,-7.672370210E1
1.845653421E1,-7.560020189E1
1.856320479E1,-7.303555278E1
1.867184004E1,-7.304354236E1
1.878066608E1,-6.754631312E1
1.888941025E1,-6.993823202E1
1.899802325E1,-7.045734381E1
1.910678479E1,-7.527988304E1
1.921555083E1,-7.354340626E1
1.932334850E1,-7.008593073E1
1.943203067E1,-7.153915998E1
1.954007867E1,-6.908603619E1
1.964861712E1,-7.368255660E1
1.975656004E1,-7.489771015E1
1.986528479E1,-7.054715443E1
1.997327908E1,-7.428393566E1
2.008198646E1,-6.978485043E1
2.018994042E1,-7.303816992E1
2.029881904E1,-7.546660431E1
2.040661079E1,-7.391713508E1
2.051532346E1,-7.301738439E1
2.062320958E1,-3.792122860E1
2.073209554E1,-4.076479900E1
2.083994225E1,-4.324790575E1
2.094844229E1,-4.451012064E1
2.105653583E1,-4.477915299E1
2.116536033E1,-4.556443105E1
2.127317842E1,-4.576104854E1
2.138172775E1,-4.664858198E1
2.148997121E1,-4.706104888E1
2.159869450E1,-4.795611794E1
2.170657612E1,-4.802513764E1
2.181512950E1,-4.939626799E1
2.192316404E1,-4.947939735E1
2.203142700E1,-5.032178720E1
2.213987992E1,-5.096953701E1
2.224877375E1,-5.106936336E1
2.235654217E1,-5.221353342E1
2.246526337E1,-5.324362342E1
2.257307704E1,-5.316875315E1
2.268176771E1,-5.485917990E1
2.278976475E1,-5.417505459E1
2.289847000E1,-5.599852559E1
2.300652058E1,-5.591981101E1
2.311529987E1,-5.680336312E1
